"Date","Price","Open","High","Low","Vol.","Change %"
"06/19/2018","225.15","228.88","229.42","222.76","72.44M","-3.21%"
"06/18/2018","232.61","227.95","233.13","227.86","57.43M","1.34%"
"06/15/2018","229.53","227.49","232.17","226.07","95.73M","0.47%"
"06/14/2018","228.45","228.65","229.26","226.72","57.60M","0.06%"
"06/13/2018","228.31","228.25","228.93","226.42","51.18M","0.26%"
"06/12/2018","227.71","229.11","230.91","226.73","84.89M","0.64%"
"06/11/2018","226.26","223.89","227.09","223.89","58.38M","1.59%"
"06/08/2018","222.72","222.11","223.74","222.11","45.57M","0.53%"
"06/07/2018","221.55","221.16","224.43","220.75","78.32M","-0.12%"
"06/06/2018","221.82","216.06","222.21","216.06","71.00M","3.57%"
"06/05/2018","214.18","215.21","215.56","212.99","49.37M","-0.55%"
"06/04/2018","215.37","213.67","215.55","213.67","43.82M","1.09%"
"06/01/2018","213.05","210.75","213.05","210.05","67.50M","1.48%"
"05/31/2018","209.94","208.57","211.14","206.98","128.97M","3.65%"
"05/30/2018","202.55","199.71","203.29","199.70","45.93M","1.46%"
"05/29/2018","199.63","200.04","201.58","198.35","51.23M","-0.56%"
"05/25/2018","200.76","200.90","201.25","199.82","29.14M","-0.24%"
"05/24/2018","201.24","199.82","201.85","199.27","47.37M","0.87%"
"05/23/2018","199.51","200.28","200.78","197.30","39.05M","-0.30%"
"05/22/2018","200.11","203.39","203.75","200.01","39.22M","-0.72%"
"05/21/2018","201.56","200.44","203.54","200.44","46.38M","1.57%"
"05/18/2018","198.45","201.51","201.71","197.68","36.63M","-1.59%"
"05/17/2018","201.65","200.87","202.54","200.42","35.98M","0.26%"
"05/16/2018","201.12","197.34","201.62","197.34","43.24M","1.91%"
"05/15/2018","197.35","195.87","197.64","194.93","44.46M","-0.33%"
"05/14/2018","198.01","201.22","201.53","197.86","42.04M","-1.13%"
"05/11/2018","200.28","202.03","202.31","199.71","30.29M","-0.67%"
"05/10/2018","201.63","199.84","202.66","199.50","46.89M","1.14%"
"05/09/2018","199.36","199.32","200.86","197.56","59.97M","-0.21%"
"05/08/2018","199.77","200.08","201.80","198.82","41.48M","-0.34%"
"05/07/2018","200.45","200.27","201.76","199.47","47.58M","0.42%"
"05/04/2018","199.62","194.77","200.18","193.78","48.80M","2.08%"
"05/03/2018","195.56","194.20","195.59","191.43","73.83M","-1.73%"
"05/02/2018","199.01","199.36","200.82","198.82","60.53M","-0.29%"
"05/01/2018","199.59","199.21","200.21","196.59","79.32M","0.30%"
"04/30/2018","198.99","202.63","205.01","198.97","83.85M","-1.63%"
"04/27/2018","202.29","201.13","202.52","200.60","47.93M","0.45%"
"04/26/2018","201.38","199.01","201.44","196.57","104.01M","1.45%"
"04/25/2018","198.50","197.48","198.99","195.63","53.71M","0.37%"
"04/24/2018","197.77","198.86","199.43","196.48","60.96M","0.13%"
"04/23/2018","197.52","197.70","199.17","196.26","47.43M","0.03%"
"04/20/2018","197.47","199.69","200.94","196.94","61.07M","-1.49%"
"04/19/2018","200.45","202.26","202.64","198.26","67.85M","-1.56%"
"04/18/2018","203.62","204.14","206.86","203.34","62.60M","0.13%"
"04/17/2018","203.36","204.39","204.45","201.73","44.67M","-0.29%"
"04/16/2018","203.96","205.12","205.43","202.86","45.70M","-0.22%"
"04/13/2018","204.40","206.11","206.26","203.04","49.93M","0.43%"
"04/12/2018","203.52","206.91","207.55","203.33","65.62M","-1.12%"
"04/11/2018","205.83","204.72","207.69","204.32","50.21M","-0.51%"
"04/10/2018","206.89","203.63","208.19","203.63","71.54M","3.22%"
"04/09/2018","200.43","203.49","205.31","200.34","62.38M","-0.62%"
"04/06/2018","201.69","203.21","205.38","199.42","62.98M","-1.42%"
"04/05/2018","204.60","201.85","205.24","200.95","61.14M","1.84%"
"04/04/2018","200.91","191.10","201.18","187.52","82.66M","3.52%"
"04/03/2018","194.08","192.31","195.16","190.22","78.76M","3.69%"
"04/02/2018","187.18","190.21","190.21","184.95","75.07M","-2.70%"
"03/29/2018","192.37","188.78","192.92","187.43","69.72M","2.41%"
"03/28/2018","187.84","188.10","190.32","185.21","83.11M","-1.43%"
"03/27/2018","190.56","197.76","197.76","189.12","71.22M","-3.55%"
"03/26/2018","197.58","197.39","198.00","192.80","71.66M","1.96%"
"03/23/2018","193.79","199.26","200.15","193.44","60.96M","-2.46%"
"03/22/2018","198.68","202.83","204.10","198.57","70.56M","-2.93%"
"03/21/2018","204.67","201.96","206.98","201.73","57.18M","1.55%"
"03/20/2018","201.54","203.35","203.93","201.22","61.56M","-0.52%"
